"","code_muni2","pop_2012","pop_2008","code_muni","IDHM","UF","MUNICIPIO","log_to_brasilia","log_to_capital","Nome_UF","metropolitano"
"1","1100023",92747,84581,110002,0.702,"RO","Ariquemes",7.47439775042381,5.07016127341028,"Rondônia",0
"2","1100031",6132,6777,110003,0.65,"RO","Cabixi",7.23025173635054,6.46298265395335,"Rondônia",0
"3","1100049",79330,78263,110004,0.718,"RO","Cacoal",7.33828366268397,5.99398636465149,"Rondônia",0
"4","1100056",16852,16784,110005,0.692,"RO","Cerejeiras",7.25571132354464,6.39159880478134,"Rondônia",0
"5","1100064",18093,18216,110006,0.685,"RO","Colorado do Oeste",7.23679280364032,6.4094838537875,"Rondônia",0
"6","1100072",8530,9761,110007,0.613,"RO","Corumbiara",7.26547867310484,6.348246985269,"Rondônia",0
"7","1100080",14355,13973,110008,0.611,"RO","Costa Marques",7.49304438312988,6.01871486159814,"Rondônia",0
"8","1100098",29189,28617,110009,0.672,"RO","Espigão D'Oeste",7.30667232860577,6.08911290034398,"Rondônia",0
"9","1100106",42202,40541,110010,0.657,"RO","Guajará-Mirim",7.58233107395665,5.61411302265862,"Rondônia",0
"10","1100114",51765,53955,110011,0.689,"RO","Jaru",7.42754857273039,5.49794661079718,"Rondônia",0
"11","1100122",118092,110707,110012,0.714,"RO","Ji-Paraná",7.38426271256654,5.7647834962136,"Rondônia",0
"12","1100130",32403,32214,110013,0.596,"RO","Machadinho D'Oeste",7.42573326352525,5.41316275821708,"Rondônia",0
"13","1100148",19891,17653,110014,0.643,"RO","Nova Brasilândia D'Oeste",7.38947747680706,5.91811398035805,"Rondônia",0
"14","1100155",37482,37142,110015,0.682,"RO","Ouro Preto do Oeste",7.40737232062874,5.64576486828663,"Rondônia",0
"15","1100189",34135,33803,110018,0.71,"RO","Pimenta Bueno",7.31533149047594,6.084613301806,"Rondônia",0
"16","1100205",442701,379186,110020,0.736,"RO","Porto Velho",7.55047195074272,0,"Rondônia",0
"17","1100254",21709,22896,110025,0.664,"RO","Presidente Médici",7.37429039990152,5.8483156253885,"Rondônia",0
"18","1100262",3374,3260,110026,0.643,"RO","Rio Crespo",7.47164193376821,5.02460394332365,"Rondônia",0
"19","1100288",51142,50249,110028,0.7,"RO","Rolim de Moura",7.35329970589521,6.00148913262995,"Rondônia",0
"20","1100296",8476,9566,110029,0.67,"RO","Santa Luzia D'Oeste",7.34964231550205,6.03892048826428,"Rondônia",0
"21","1100304",79616,68405,110030,0.731,"RO","Vilhena",7.21439403278341,6.40276261040859,"Rondônia",0
"22","1100320",21927,23283,110032,0.646,"RO","São Miguel do Guaporé",7.41273987712312,5.86067225685796,"Rondônia",0
"23","1100338",23719,21650,110033,0.587,"RO","Nova Mamoré",7.58870841344138,5.48496289482205,"Rondônia",0
"24","1100346",16404,17009,110034,0.643,"RO","Alvorada D'Oeste",7.39997895434847,5.82227636870399,"Rondônia",0
"25","1100379",12833,11962,110037,0.592,"RO","Alto Alegre dos Parecis",7.34966802806135,6.07862799586745,"Rondônia",0
"26","1100403",17742,17169,110040,0.625,"RO","Alto Paraíso",7.49516965237015,4.81705054502359,"Rondônia",0
"27","1100452",33397,33879,110045,0.616,"RO","Buritis",7.51178705245089,5.0841335566053,"Rondônia",0
"28","1100502",9933,9966,110050,0.634,"RO","Novo Horizonte do Oeste",7.36839646703371,5.96203573641717,"Rondônia",0
"29","1100601",5791,5707,110060,0.646,"RO","Cacaulândia",7.45552402415735,5.33450463730975,"Rondônia",0
"30","1100700",12847,12790,110070,0.593,"RO","Campo Novo de Rondônia",7.49251514552606,5.31532196536386,"Rondônia",0
"31","1100809",20787,17147,110080,0.649,"RO","Candeias do Jamari",7.53911215858563,3.11529150861163,"Rondônia",0
"32","1100908",3479,3737,110090,0.658,"RO","Castanheiras",7.37151445213054,5.90115683407645,"Rondônia",0
"33","1100924",8721,7633,110092,0.652,"RO","Chupinguaia",7.27468050878304,6.2806766983919,"Rondônia",0
"34","1100940",17262,14122,110094,0.612,"RO","Cujubim",7.4628752616273,5.07210661618436,"Rondônia",0
"35","1101005",10040,11793,110100,0.596,"RO","Governador Jorge Teixeira",7.43964156191968,5.4891443163857,"Rondônia",0
"36","1101104",8830,8110,110110,0.614,"RO","Itapuã do Oeste",7.50033598961705,4.53838915229774,"Rondônia",0
"37","1101203",10203,10653,110120,0.638,"RO","Ministro Andreazza",7.34886419792845,5.93028039378298,"Rondônia",0
"38","1101302",11686,12446,110130,0.643,"RO","Mirante da Serra",7.42616209276844,5.65553716202821,"Rondônia",0
"39","1101401",14313,12710,110140,0.607,"RO","Monte Negro",7.48058621802734,5.18301874218457,"Rondônia",0
"40","1101435",7382,7978,110143,0.587,"RO","Nova União",7.42208077105775,5.63464673582134,"Rondônia",0
"41","1101450",4990,4696,110145,0.617,"RO","Parecis",7.33195054407089,6.12097850564006,"Rondônia",0
"42","1101468",2283,2427,110146,0.665,"RO","Pimenteiras do Oeste",7.26812538738378,6.41422915229421,"Rondônia",0
"43","1101476",3406,3819,110147,0.641,"RO","Primavera de Rondônia",7.3203945908383,6.0930956170203,"Rondônia",0
"44","1101484",5862,6477,110148,0.649,"RO","São Felipe D'Oeste",7.33100136438539,6.08002472408746,"Rondônia",0
"45","1101492",16636,16091,110149,0.611,"RO","São Francisco do Guaporé",7.46000687483721,5.91017314347138,"Rondônia",0
"46","1101500",11619,12088,110150,0.598,"RO","Seringueiras",7.43199256301574,5.86033027908318,"Rondônia",0
"47","1101559",4778,5070,110155,0.643,"RO","Teixeirópolis",7.40250639736128,5.70571394150595,"Rondônia",0
"48","1101609",10575,10254,110160,0.589,"RO","Theobroma",7.42584048807739,5.46666676577511,"Rondônia",0
"49","1101708",12687,13785,110170,0.609,"RO","Urupá",7.4055382154856,5.74146354162389,"Rondônia",0
"50","1101757",9633,8981,110175,0.584,"RO","Vale do Anari",7.42592983308917,5.41512214609012,"Rondônia",0
"51","1101807",7961,9008,110180,0.627,"RO","Vale do Paraíso",7.407129585979,5.59801446857802,"Rondônia",0
"52","1200013",13011,11987,120001,0.604,"AC","Acrelândia",7.67672859766008,4.63327161609897,"Acre",0
"53","1200054",6308,5559,120005,0.588,"AC","Assis Brasil",7.78336150688378,5.39412742139401,"Acre",0
"54","1200104",22261,19829,120010,0.614,"AC","Brasiléia",7.74591580651515,5.03792615433216,"Acre",0
"55","1200138",8782,6745,120013,0.589,"AC","Bujari",7.72661398152059,3.10548313751311,"Acre",0
"56","1200179",9368,8897,120017,0.575,"AC","Capixaba",7.7023302521722,4.22083035949488,"Acre",0
"57","1200203",79819,76392,120020,0.664,"AC","Cruzeiro do Sul",7.95113670665083,6.38723279223728,"Acre",0
"58","1200252",15679,13960,120025,0.653,"AC","Epitaciolândia",7.74534906390711,5.04490788803835,"Acre",0
"59","1200302",32560,32210,120030,0.539,"AC","Feijó",7.85533147689537,5.84165858199071,"Acre",0
"60","1200328",6898,6333,120032,0.469,"AC","Jordão",7.89769044702238,6.11049125352962,"Acre",0
"61","1200336",15890,14387,120033,0.625,"AC","Mâncio Lima",7.95953798029345,6.42558189778931,"Acre",0
"62","1200344",8224,7405,120034,0.551,"AC","Manoel Urbano",7.79987216368387,5.31379693739642,"Acre",0
"63","1200351",15123,13728,120035,0.501,"AC","Marechal Thaumaturgo",7.9383563570337,6.32507555144816,"Acre",0
"64","1200385",17587,17921,120038,0.622,"AC","Plácido de Castro",7.68263450870519,4.37386844697242,"Acre",0
"65","1200393",9711,8562,120039,0.532,"AC","Porto Walter",7.94517987067008,6.3525074376634,"Acre",0
"66","1200401",348354,301398,120040,0.727,"AC","Rio Branco",7.71780065940226,0,"Acre",0
"67","1200427",15260,13020,120042,0.567,"AC","Rodrigues Alves",7.94875611002499,6.37424086696145,"Acre",0
"68","1200435",5061,4165,120043,0.517,"AC","Santa Rosa do Purus",7.84226699585861,5.70438229472817,"Acre",0
"69","1200450",20588,19506,120045,0.64,"AC","Senador Guiomard",7.71159374138471,3.05305734017326,"Acre",0
"70","1200500",39366,35544,120050,0.603,"AC","Sena Madureira",7.77039625798951,4.92194978926357,"Acre",0
"71","1200609",36763,33368,120060,0.539,"AC","Tarauacá",7.87164308262157,5.94578703361133,"Acre",0
"72","1200708",16639,14848,120070,0.599,"AC","Xapuri",7.7395812067775,4.67208089127072,"Acre",0
"73","1200807",15534,14309,120080,0.576,"AC","Porto Acre",7.71137886668269,3.96385615406816,"Acre",0
"74","1300029",14381,13445,130002,0.527,"AM","Alvarães",7.74716496652033,6.27430994166824,"Amazonas",0
"75","1300060",9794,8694,130006,0.56,"AM","Amaturá",7.8678523477935,6.81103510560391,"Amazonas",0
"76","1300086",10766,8483,130008,0.594,"AM","Anamã",7.6024362826338,5.08784321833449,"Amazonas",0
"77","1300102",17072,14386,130010,0.561,"AM","Anori",7.60482973767997,5.27079199548328,"Amazonas",0
"78","1300144",18633,18170,130014,0.637,"AM","Apuí",7.38661953666007,6.1215713324532,"Amazonas",0
"79","1300201",15924,14292,130020,0.45,"AM","Atalaia do Norte",7.91689498255305,7.03605174324802,"Amazonas",0
"80","1300300",33312,31107,130030,0.577,"AM","Autazes",7.51094492871831,4.72366408003588,"Amazonas",0
"81","1300409",25948,25318,130040,0.5,"AM","Barcelos",7.7522835934294,5.99053911903148,"Amazonas",0
"82","1300508",28077,27664,130050,0.574,"AM","Barreirinha",7.47130617137101,5.79891081974778,"Amazonas",0
"83","1300607",34950,30476,130060,0.574,"AM","Benjamin Constant",7.91098305174973,7.02046770301059,"Amazonas",0
"84","1300631",16158,14374,130063,0.506,"AM","Beruri",7.58901204794873,5.15807781013345,"Amazonas",0
"85","1300680",15659,13677,130068,0.565,"AM","Boa Vista do Ramos",7.4809752517908,5.60130668306696,"Amazonas",0
"86","1300706",31171,30858,130070,0.588,"AM","Boca do Acre",7.72010670702056,6.93646906410308,"Amazonas",0
"87","1300805",35919,32160,130080,0.56,"AM","Borba",7.49386275706108,5.01582182078356,"Amazonas",0
"88","1300839",11303,10958,130083,0.569,"AM","Caapiranga",7.60438140100151,4.89657033780828,"Amazonas",0
