,CO_ENTIDADE,NO_ENTIDADE,DT_ANO_LETIVO_INICIO,CO_MUNICIPIO,TP_LOCALIZACAO,TP_DEPENDENCIA,IN_LOCAL_FUNC_UNID_PRISIONAL,IN_LOCAL_FUNC_PRISIONAL_SOCIO,IN_AGUA_FILTRADA,IN_AGUA_INEXISTENTE,IN_ENERGIA_INEXISTENTE,IN_ESGOTO_INEXISTENTE,IN_LIXO_RECICLA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_BIBLIOTECA_SALA_LEITURA,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_CHUVEIRO,IN_AREA_VERDE,IN_COMPUTADOR,IN_INTERNET,IN_ALIMENTACAO,ano
0,26167840,ESCOLA MUNICIPAL UR 05,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2015
1,26170353,CENTRO DE ARTE TRABALHO E EDUCACAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
2,26163543,PRIMEIRA IGREJA BATISTA OU ESCOLINHA BATISTA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
3,26148935,ESCOLA DENTE DE LEITE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
4,26126419,ESCOLA MUNICIPAL PRESBITERO JOSE BEZERRA,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2015
5,26155834,ESCOLA NOSSA SENHORA DE GUADALUPE,02/03/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2015
6,26127008,ESCOLA MUNICIPAL CREUZA DE FREITAS CAVALCANTI,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2015
7,26144107,EDUCANDARIO JOANA DARC,03/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2015
8,26139669,ESCOLA PARAISO EDUCACIONAL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
9,26122243,ESCOLA NOVO TEMPO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
10,26464713,EDUCANDARIO VOVO JUCA,02/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2015
11,26162032,COLEGIO NAP NUCLEO DE ACAO PEDAGOGICA,02/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2015
12,26120780,ESCOLA MUNICIPAL PADRE JOSE MATHIAS DELGADO,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2015
13,26526735,CENTRO RECIFENSE DE EDUCACAO LTDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
14,26127016,ESCOLA MUNICIPAL CASARAO DO BARBALHO,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2015
