,code_muni,in_agua_filtrada,in_agua_inexistente,in_energia_inexistente,in_esgoto_inexistente,in_laboratorio_ciencias,in_laboratorio_informatica,in_quadra_esportes,in_biblioteca_sala_leitura,in_banheiro_dentro_predio,in_banheiro_chuveiro,in_internet,co_municipio
0,3158953,84,0,0,3,0,38,31,53,84,54,73,315895300
1,3102308,41,0,0,0,4,28,29,36,41,25,38,350560804
2,3170206,1327,0,0,0,323,676,731,1116,1317,921,1299,6238965408
3,4321600,58,0,0,0,24,66,68,103,154,79,145,730350400
4,2616407,521,40,0,1,68,183,109,296,529,264,324,1938757587
5,2209906,49,0,2,3,6,7,12,9,37,9,14,530377440
6,3539103,76,0,0,0,3,17,32,30,54,20,56,307901961
7,2601052,37,0,0,0,6,15,20,37,61,54,47,239296784
8,3522158,30,0,0,0,0,12,12,10,30,3,20,112709056
9,2507200,64,44,0,0,5,10,13,17,58,7,18,295849600
10,4107900,23,0,0,0,4,15,12,12,28,17,28,131452800
11,2204006,39,0,0,3,0,29,9,11,39,25,32,132240360
12,4322301,3,0,0,0,5,19,16,20,24,20,20,242048856
13,1715705,20,0,0,0,0,0,0,7,16,5,13,274512800
14,2807501,107,0,0,0,0,17,8,16,58,36,37,513772683
15,1707405,57,0,0,0,0,11,16,12,44,26,46,145129425
16,4317756,0,0,0,0,4,8,7,4,12,4,12,69084096
17,5101704,118,1,0,1,4,63,52,61,100,68,82,959120352
18,5107156,11,0,0,0,4,5,8,12,12,11,12,81714496
19,4308003,2,0,0,0,5,26,17,18,33,15,33,284328198
20,2920908,55,0,2,42,0,18,0,8,54,18,47,563735244
21,5005681,47,0,0,0,6,28,32,35,56,38,56,280318136
22,2517407,12,0,0,0,0,8,3,6,12,9,10,30208884
23,3153400,85,0,0,0,5,65,12,53,85,61,69,397328400
24,1302108,40,57,121,75,0,20,4,26,61,19,27,302089056
25,3536703,162,0,0,2,22,90,80,79,145,64,136,756854442
26,2303931,38,0,0,0,3,33,19,37,71,21,37,635884956
27,3148608,75,4,0,0,0,20,9,33,58,20,29,566749440
28,1100304,211,0,3,2,41,93,128,131,209,153,206,320188464
29,3147402,59,0,0,0,8,41,40,53,59,32,53,264381768
30,2513208,32,6,0,0,4,15,8,17,26,16,30,241267968
31,4106571,12,0,0,0,4,15,15,18,25,17,25,135516843
32,3159407,28,0,0,0,0,15,17,4,28,0,15,176926792
33,4104303,145,0,0,2,89,186,192,194,271,174,274,1280542536
34,4319364,15,0,0,0,3,7,7,13,15,11,12,103664736
35,2108009,127,0,0,0,0,36,14,18,133,14,46,373117593
36,3534005,20,0,0,0,1,11,8,15,12,4,19,84816120
37,2803302,123,0,0,0,4,30,24,27,111,70,52,501791058
38,2911600,125,16,0,0,9,49,24,55,127,72,70,509530000
39,2806008,86,0,0,0,12,36,35,46,56,34,59,471409344
40,3552106,150,0,0,20,14,74,94,85,154,26,145,770807002
41,3504206,48,0,0,0,9,19,20,41,45,29,41,168201888
42,5102793,40,0,0,0,7,17,25,8,40,30,34,204111720
43,3134103,40,0,0,0,4,10,4,19,39,13,18,401165184
44,2400604,40,0,0,0,2,7,4,8,40,15,17,218454964
45,4127700,123,0,0,0,133,293,275,331,421,298,428,1853337300
46,1301506,179,0,57,111,4,19,2,19,58,4,20,514094870
47,1301852,203,0,9,14,18,42,33,115,280,122,141,453044496
48,4217105,34,0,0,0,7,13,17,8,33,15,24,189769725
49,2917201,80,12,0,3,0,7,18,28,73,22,47,1056026762
50,2100477,246,40,4,7,8,85,21,73,242,58,109,798181260
51,3118809,166,0,0,0,19,56,64,82,158,65,86,973068408
52,3172004,144,0,0,1,8,34,78,86,142,84,113,716872904
53,5213905,27,0,0,0,0,16,7,22,27,25,25,156417150
54,5221197,34,0,0,0,0,23,8,12,32,10,26,250617456
55,2201903,94,0,0,0,9,62,25,51,90,64,70,471207242
56,2207207,47,0,0,0,0,4,7,30,50,26,29,317837808
57,3151305,32,0,0,0,2,19,28,32,32,20,32,201683520
58,2701605,141,0,0,2,0,44,7,33,134,10,34,648385200
59,2905602,123,5,7,0,3,30,32,26,124,57,75,764173326
60,4217600,26,0,0,0,8,24,25,32,53,30,55,316320000
61,3136603,24,0,0,0,6,10,17,17,24,8,19,150556944
62,5214903,32,0,0,0,0,10,4,8,28,2,20,354613404
63,2926103,62,4,0,0,1,16,17,31,60,23,48,529624643
64,4322905,6,0,0,0,4,8,3,12,13,12,13,397707260
65,5211008,43,0,0,0,0,15,7,28,42,12,34,552366848
66,3544103,105,0,0,0,4,46,46,36,71,11,96,404027742
67,3520905,48,0,0,0,4,36,28,31,46,10,48,169003440
68,3551306,16,0,0,0,1,8,8,9,12,0,13,56820896
69,3506003,1008,0,0,0,179,407,571,511,688,271,924,4200191594
70,1400100,817,1,6,11,157,518,490,610,888,753,647,1558311300
71,2111789,121,10,15,47,0,9,4,7,96,23,22,405463488
72,2211357,38,4,0,3,0,4,0,8,12,0,12,183542631
73,2109205,127,0,0,30,0,8,4,1,79,15,10,388093720
74,3532108,8,0,0,0,0,8,8,8,7,2,8,42385296
75,2511301,99,2,0,3,4,67,28,34,99,31,74,675539969
76,4203907,74,0,0,0,13,54,26,69,77,48,75,454021956
77,4312138,7,0,0,4,4,9,4,12,13,4,16,228543314
78,1506708,121,0,0,0,4,6,22,42,104,65,84,241073280
79,1101757,36,0,0,0,0,5,7,9,36,19,19,118989756
80,3543907,436,0,0,0,57,241,219,253,348,160,391,1874726803
81,1100296,28,0,0,0,4,8,9,11,28,14,27,110029600
82,1703057,21,0,0,0,0,12,8,15,20,5,12,71528394
83,2209500,12,0,0,0,0,9,4,4,23,13,12,114894000
84,5101852,18,0,2,6,0,10,7,8,16,15,16,244888896
85,4319125,14,0,0,0,0,8,3,15,16,4,16,69106000
